origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-01-03,ARI incidence,2023-12-31,1,BE,median,,1388.64184818645
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.01,747.079493183921
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.025,844.431576845414
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.05,926.442691181363
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.1,1018.54796553419
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.15,1084.92322005427
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.2,1140.09382706224
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.25,1186.60014155061
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.3,1232.9120496719
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.35,1274.96350349977
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.4,1314.76952639802
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.45,1354.23477963981
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.5,1388.49258785769
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.55,1431.13763390566
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.6,1468.06344926532
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.65,1513.52141842882
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.7,1558.67399022192
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.75,1608.33872476497
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.8,1666.69212938526
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.85,1734.87150506329
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.9,1826.26350572701
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.95,1951.4218205898
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.975,2076.22835134961
2024-01-03,ARI incidence,2023-12-31,1,BE,quantile,0.99,2240.03861723824
2024-01-03,ARI incidence,2024-01-07,2,BE,median,,1339.37910282614
