"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2024-04-10,"ARI incidence",2024-04-07,1,"BE","median","",1182.96597278258
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.01",769.406621104234
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.025",829.324510028989
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.05",881.141086422568
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.1",943.032790853262
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.15",987.770437431009
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.2",1024.62077191445
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.25",1054.00072785496
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.3",1083.10129270427
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.35",1109.44724584136
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.4",1133.52117211857
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.45",1158.35175458859
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.5",1182.74668954901
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.55",1206.94813362123
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.6",1232.23087575402
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.65",1256.57429239011
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.7",1286.4097460981
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.75",1318.36613715627
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.8",1353.47575197153
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.85",1394.82736469711
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.9",1451.71734353013
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.95",1530.50260440727
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.975",1604.29599023028
2024-04-10,"ARI incidence",2024-04-07,1,"BE","quantile","0.99",1688.15151820483
