origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-03-20,ARI incidence,2024-03-17,1,BG,median,,714.2210428794747
2024-03-20,ARI incidence,2024-03-24,2,BG,median,,618.7006990633676
2024-03-20,ARI incidence,2024-03-31,3,BG,median,,555.9506185736717
2024-03-20,ARI incidence,2024-04-07,4,BG,median,,493.91326042297567
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.01,81.06771508894107
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.025,136.2741632675767
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.05,228.53517149219638
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.1,339.5914167789007
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.15,396.82599846047117
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.2,465.2904091856227
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.25,508.2178444549712
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.3,552.2112551301956
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.35,584.5613961986427
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.4,621.6879283867196
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.45,667.2968590406942
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.5,714.2210428794747
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.55,763.3029473176929
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.6,803.9058562514671
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.65,852.1716473705274
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.7,924.295529921129
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.75,988.5406988453155
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.8,1066.5650240794469
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.85,1179.9399397515774
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.9,1352.6913593459021
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.95,1657.7276093537432
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.975,1975.2880135878124
2024-03-20,ARI incidence,2024-03-17,1,BG,quantile,0.99,2784.2410080506174
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.01,9.47723538736331
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.025,26.996620068327935
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.05,108.18701152062427
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.1,190.30527224215336
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.15,268.0206751111968
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.2,328.10680986356755
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.25,373.5053664923295
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.3,420.15652622496054
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.35,464.65715468435315
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.4,508.2326889103417
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.45,566.1958127803455
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.5,618.7006990633676
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.55,677.3184688634921
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.6,759.9127231258303
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.65,830.2871524416732
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.7,899.6733888707881
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.75,982.952322217063
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.8,1110.1319474329616
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.85,1299.7480759359796
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.9,1557.4515117041692
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.95,1934.8332966075225
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.975,2538.740943938983
2024-03-20,ARI incidence,2024-03-24,2,BG,quantile,0.99,3030.978476417465
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.01,0.9782547947179091
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.025,6.175564975456026
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.05,30.271787701038143
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.1,90.64095276842353
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.15,163.21788901547313
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.2,224.92002661468769
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.25,266.6285554743456
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.3,318.7768729315703
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.35,379.6293268617642
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.4,435.43909656068945
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.45,498.45554025386446
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.5,555.9506185736717
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.55,625.7746004967449
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.6,719.9332630760267
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.65,796.5032190129201
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.7,888.1147668927621
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.75,1003.0661946198794
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.8,1188.555622055786
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.85,1391.7580470029043
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.9,1749.7666189144477
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.95,2212.6351975253347
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.975,2961.02228558936
2024-03-20,ARI incidence,2024-03-31,3,BG,quantile,0.99,3866.9204040000923
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.01,0.4605755131682862
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.025,2.9726229862520044
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.05,9.318172349502024
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.1,35.14783750236258
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.15,73.74903099133985
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.2,127.33506327942797
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.25,179.98199848259407
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.3,228.27757722659376
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.35,280.9862612096736
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.4,353.32739891416526
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.45,408.71374205073016
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.5,493.91326042297567
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.55,565.4341490832011
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.6,655.4074565671953
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.65,774.7444317558932
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.7,897.0363329727691
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.75,1037.1620803461053
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.8,1253.0554489864237
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.85,1534.09050703097
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.9,1980.8207075639866
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.95,2928.060862245789
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.975,3529.9101282405227
2024-03-20,ARI incidence,2024-04-07,4,BG,quantile,0.99,5086.258617807496
2024-03-20,ARI incidence,2024-03-17,1,CZ,median,,1006.8316340132103
2024-03-20,ARI incidence,2024-03-24,2,CZ,median,,932.7765856492053
2024-03-20,ARI incidence,2024-03-31,3,CZ,median,,886.6264224966721
2024-03-20,ARI incidence,2024-04-07,4,CZ,median,,812.9602455594123
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.01,344.6055104783377
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.025,500.86640306133415
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.05,635.1684678722785
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.1,753.4539267930858
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.15,820.0234848785038
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.2,865.6792406433253
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.25,900.7983678856032
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.3,928.124021755496
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.35,947.5590216984028
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.4,966.61414246289
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.45,986.4886605188467
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.5,1006.8316340132103
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.55,1031.2235984050644
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.6,1056.330491626153
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.65,1086.6586586213677
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.7,1116.5621759955297
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.75,1163.5175104172445
2024-03-20,ARI incidence,2024-03-17,1,CZ,quantile,0.8,1222.5568351707477
