origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-02-28,ARI incidence,2024-02-25,1,BE,median,,1493.9167762217598
2024-02-28,ARI incidence,2024-03-03,2,BE,median,,1411.1260187068294
2024-02-28,ARI incidence,2024-03-10,3,BE,median,,1303.6711608690816
2024-02-28,ARI incidence,2024-03-17,4,BE,median,,1190.6495954532008
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.01,680.4176211536586
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.025,840.2412888279808
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.05,923.3852744520428
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.1,1044.842373832838
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.15,1120.281140721545
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.2,1175.1741220124989
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.25,1236.6205704475847
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.3,1297.7760436735084
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.35,1343.1210315295593
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.4,1401.3003994125377
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.45,1447.9182260114192
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.5,1493.9167762217598
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.55,1546.6260664922875
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.6,1601.4061693588237
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.65,1660.5478239674205
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.7,1742.837337551719
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.75,1820.4329194433355
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.8,1917.7103193419175
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.85,2015.6674612400761
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.9,2162.979788437114
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.95,2454.6358819115385
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.975,2767.3293411537547
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.99,3139.7185406116214
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.01,512.4169775120391
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.025,592.0315460091958
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.05,710.5031720404505
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.1,845.9309625684939
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.15,938.178745163581
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.2,1031.1799178230415
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.25,1112.9202033831261
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.3,1176.8644182105782
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.35,1238.7711872479354
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.4,1294.2020983849789
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.45,1352.8388859459512
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.5,1411.1260187068294
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.55,1473.8893973616794
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.6,1542.5882509578519
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.65,1608.4642603697632
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.7,1697.2873559074583
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.75,1778.2838243472354
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.8,1901.0046619512516
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.85,2067.751655844158
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.9,2284.1423697489254
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.95,2670.4042219334005
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.975,3131.877609302895
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.99,3935.670856850906
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.01,370.0426081669679
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.025,491.92466672668405
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.05,585.73047872385
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.1,724.3319368172783
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.15,795.2494237782688
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.2,859.63157360279
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.25,934.253648024356
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.3,1015.0629620604306
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.35,1086.008777802603
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.4,1148.3242054296588
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.45,1230.431416804269
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.5,1303.6711608690816
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.55,1371.7475283266026
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.6,1452.3887324654988
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.65,1527.5476581662874
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.7,1646.190961829399
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.75,1764.7732754813503
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.8,1920.5916237683914
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.85,2106.9648160415254
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.9,2379.0959272066434
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.95,2879.9488063100857
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.975,3351.894510247813
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.99,4508.0658172507365
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.01,261.5619051356596
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.025,339.84666734996324
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.05,433.0266891952706
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.1,555.3716343244744
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.15,638.3585555168688
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.2,728.3077079368305
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.25,806.0435859588174
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.3,898.2707987398766
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.35,975.5667630939058
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.4,1042.4765860533078
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.45,1109.7068980569911
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.5,1190.6495954532008
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.55,1277.1471906558995
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.6,1362.931372171144
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.65,1441.568645098674
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.7,1560.8096181702865
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.75,1723.6470541465167
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.8,1863.8998027274997
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.85,2083.6668852075063
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.9,2452.703951509349
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.95,3099.5964243262924
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.975,3907.801367072217
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.99,5104.37815038469
2024-02-28,ARI incidence,2024-02-25,1,BG,median,,1385.4445753330683
2024-02-28,ARI incidence,2024-03-03,2,BG,median,,1475.8209027100029
2024-02-28,ARI incidence,2024-03-10,3,BG,median,,1572.4106585236814
2024-02-28,ARI incidence,2024-03-17,4,BG,median,,1704.584175161556
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.01,528.9138073118481
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.025,635.3788802797062
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.05,743.4577521968542
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.1,860.9937391327874
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.15,952.1958558400839
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.2,1017.2163635858899
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.25,1089.8572028589433
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.3,1148.2306927716872
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.35,1206.2419020613868
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.4,1252.2454930693386
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.45,1307.3920680008098
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.5,1385.4445753330683
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.55,1435.7890763365544
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.6,1493.0358099301156
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.65,1576.4920387076625
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.7,1635.9874808088732
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.75,1711.7836677886744
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.8,1820.6738697949354
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.85,1945.9587110529098
