origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.2,521.5574344218692
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.25,550.584520608374
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.15,494.4268424664159
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.1,460.0306494318473
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.05,417.3425321427447
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.025,386.9514956108889
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.01,342.8168776007166
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.85,908.9589179416142
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.9,975.4536843930833
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.8,857.0252193861713
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.7,779.3164414163984
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.75,814.4338122045124
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.6,719.7829780733898
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.5,670.8154299385717
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.65,747.5808728532138
2024-03-27,ARI incidence,2024-04-07,3,BG,quantile,0.05,324.0573503694602
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.55,695.3558222081876
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.3,575.9481465463068
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.35,598.1784615230162
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.45,646.938974011575
2024-03-27,ARI incidence,2024-04-07,3,BG,quantile,0.1,366.9977108339332
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.4,623.2625605702683
2024-03-27,ARI incidence,2024-04-07,3,BG,quantile,0.025,291.96915459686136
2024-03-27,ARI incidence,2024-04-07,3,BG,quantile,0.15,396.169973667235
2024-03-27,ARI incidence,2024-04-07,3,BG,quantile,0.7,685.8301523423202
2024-03-27,ARI incidence,2024-04-07,3,BG,quantile,0.75,720.0317758223293
2024-03-27,ARI incidence,2024-04-07,3,BG,quantile,0.8,759.7908607636115
2024-03-27,ARI incidence,2024-04-07,3,BG,quantile,0.2,423.0841128789766
2024-03-27,ARI incidence,2024-04-07,3,BG,quantile,0.25,449.6015837950199
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.99,1323.9484717052094
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.95,1080.6247939218072
2024-03-27,ARI incidence,2024-03-31,2,BG,quantile,0.975,1179.8430541909706
