origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.01,1188.7509778525832
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.01,1097.2788651177848
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.01,1043.9390226659136
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.01,1004.705644546696
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.025,1207.8717804439518
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.025,1114.8084043849842
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.025,1056.7076851112042
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.025,1011.5605929610292
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.05,1226.8829390555095
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.05,1134.0162124989151
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.05,1072.7097722664291
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.05,1022.5215050908891
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.1,1254.0618422800526
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.1,1161.153527474009
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.1,1097.8038316623242
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.1,1044.426009851334
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.15,1275.137478210894
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.15,1183.972409641763
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.15,1120.0279966845983
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.15,1067.283869905487
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.2,1292.4308670102005
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.2,1204.4283462648011
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.2,1141.0384357404316
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.2,1088.682796174838
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.25,1307.9165771301368
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.25,1223.19480850409
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.25,1161.2943366434706
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.25,1110.679467484375
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.3,1322.1953690147486
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.3,1241.079027794625
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.3,1180.5238948479848
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.3,1132.8416145378085
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.35,1335.6624036002029
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.35,1258.264391274909
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.35,1199.8107716354646
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.35,1155.2529117820318
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.4,1348.6472200839496
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.4,1274.1857369247784
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.4,1219.2263411984943
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.4,1177.5643783549954
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.45,1361.3909079367284
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.45,1290.3106638457753
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.45,1238.5482850799576
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.45,1201.0960491988658
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.5,1373.7323646737814
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.5,1306.216082647033
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.5,1257.3436410267625
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.5,1223.8447619122317
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.55,1386.4874159435174
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.55,1323.305484428707
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.55,1277.4481681376867
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.55,1247.3341879690245
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.6,1399.0283265017215
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.6,1340.0259073258742
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.6,1297.8228496956192
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.6,1270.787135728034
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.65,1412.0355030299188
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.65,1357.1364965791424
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.65,1318.240445365909
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.65,1294.521258547427
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.7,1425.824910245992
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.7,1374.8378749295282
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.7,1339.7041026304444
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.7,1318.7547623234852
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.75,1441.7520848191416
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.75,1394.216147603712
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.75,1361.1690039033174
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.75,1342.8841876521035
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.8,1457.6385842854504
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.8,1414.6523012589118
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.8,1385.0024859195323
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.8,1368.3571782402691
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.85,1474.9920292921154
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.85,1436.4080284227048
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.85,1409.8000531763714
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.85,1395.2438530693778
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.9,1494.3900372834937
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.9,1459.8291671515583
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.9,1436.8895226325042
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.9,1424.578337502797
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.95,1520.5760473991452
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.95,1488.839273169713
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.95,1467.1475078562548
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.95,1456.6638120526088
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.975,1549.8082163272095
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.975,1509.236344457718
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.975,1488.1352831866302
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.975,1477.949747743984
2024-02-28,ARI incidence,2024-02-25,1,BE,quantile,0.99,1657.8690975709253
2024-02-28,ARI incidence,2024-03-03,2,BE,quantile,0.99,1554.2828977472427
2024-02-28,ARI incidence,2024-03-10,3,BE,quantile,0.99,1505.1508824338912
2024-02-28,ARI incidence,2024-03-17,4,BE,quantile,0.99,1495.6765957323803
2024-02-28,ARI incidence,2024-02-25,1,BE,median,,1373.7323646737814
2024-02-28,ARI incidence,2024-03-03,2,BE,median,,1306.216082647033
2024-02-28,ARI incidence,2024-03-10,3,BE,median,,1257.3436410267625
2024-02-28,ARI incidence,2024-03-17,4,BE,median,,1223.8447619122317
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.01,860.1523161802464
2024-02-28,ARI incidence,2024-03-03,2,BG,quantile,0.01,687.8358289967291
2024-02-28,ARI incidence,2024-03-10,3,BG,quantile,0.01,582.7784404311263
2024-02-28,ARI incidence,2024-03-17,4,BG,quantile,0.01,508.1098221632559
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.025,878.7993448199977
2024-02-28,ARI incidence,2024-03-03,2,BG,quantile,0.025,710.6326443249375
2024-02-28,ARI incidence,2024-03-10,3,BG,quantile,0.025,601.7558037612264
2024-02-28,ARI incidence,2024-03-17,4,BG,quantile,0.025,519.0152067212612
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.05,897.9466622823
2024-02-28,ARI incidence,2024-03-03,2,BG,quantile,0.05,735.5316834086011
2024-02-28,ARI incidence,2024-03-10,3,BG,quantile,0.05,624.7425785296127
2024-02-28,ARI incidence,2024-03-17,4,BG,quantile,0.05,537.278311492354
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.1,922.0876783441812
2024-02-28,ARI incidence,2024-03-03,2,BG,quantile,0.1,768.688506254558
2024-02-28,ARI incidence,2024-03-10,3,BG,quantile,0.1,657.8607387869021
2024-02-28,ARI incidence,2024-03-17,4,BG,quantile,0.1,570.9011456312618
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.15,939.4983841803602
2024-02-28,ARI incidence,2024-03-03,2,BG,quantile,0.15,793.796661574567
2024-02-28,ARI incidence,2024-03-10,3,BG,quantile,0.15,685.4760320711298
2024-02-28,ARI incidence,2024-03-17,4,BG,quantile,0.15,600.3970891707953
2024-02-28,ARI incidence,2024-02-25,1,BG,quantile,0.2,953.759803882562
