origin_date,target_end_date,target,location,output_type,output_type_id,horizon,value
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.01,1,436.15316163758933
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.025,1,484.78100960268154
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.05,1,521.9134305428686
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.1,1,580.5866543865079
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.15,1,622.1949714259831
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.2,1,645.4585431403486
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.25,1,680.5497101077282
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.3,1,703.1090757419053
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.35,1,727.7020281135109
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.4,1,748.1334410363648
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.45,1,768.4008930795769
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.5,1,943.7305134263908
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.55,1,1139.081054709617
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.6,1,1164.5799204306109
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.65,1,1182.9576938465837
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.7,1,1219.7675011135184
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.75,1,1256.1939466115066
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.8,1,1294.8663022881863
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.85,1,1345.0135603904487
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.9,1,1448.44928395099
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.95,1,1554.6522896959907
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.975,1,1645.6240374670663
2024-04-24,2024-04-21,ARI incidence,SI,quantile,0.99,1,1752.002210051104
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.01,2,297.4969897254328
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.025,2,343.89084121603764
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.05,2,381.8519133644867
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.1,2,423.1323086446782
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.15,2,444.99572522138254
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.2,2,464.69108354785874
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.25,2,485.1236760453862
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.3,2,497.8678008198516
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.35,2,508.93103168431946
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.4,2,519.8810233801137
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.45,2,534.9500898364072
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.5,2,662.5199112204917
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.55,2,819.4245751643856
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.6,2,842.2634999962254
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.65,2,869.9292443927737
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.7,2,900.107482844266
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.75,2,926.8802892128367
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.8,2,965.1987724874116
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.85,2,1009.1284924846938
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.9,2,1070.7872198274233
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.95,2,1173.4267304832292
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.975,2,1296.3891331919103
2024-04-24,2024-04-28,ARI incidence,SI,quantile,0.99,2,1437.3133912866233
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.01,3,173.69449393415522
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.025,3,203.64825932524553
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.05,3,236.1414130738395
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.1,3,258.08622030302797
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.15,3,281.2978907317515
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.2,3,295.11542845926783
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.25,3,308.21106648649055
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.3,3,319.70248295750514
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.35,3,329.3832523044171
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.4,3,337.4810324392472
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.45,3,345.68969259340344
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.5,3,435.49896952356505
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.55,3,543.6294002853627
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.6,3,553.182775567517
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.65,3,569.0138472630093
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.7,3,590.8890595864506
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.75,3,604.9153820312088
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.8,3,621.8340215758362
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.85,3,648.7979190415437
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.9,3,693.3162468009936
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.95,3,765.6855121807599
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.975,3,842.0228667627943
2024-04-24,2024-05-05,ARI incidence,SI,quantile,0.99,3,916.6790915198915
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.01,4,108.26018397590269
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.025,4,129.36513403742933
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.05,4,142.91372873934608
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.1,4,156.97307927496735
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.15,4,168.29345741829792
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.2,4,177.3985943244529
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.25,4,185.42913870288308
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.3,4,191.69739851883168
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.35,4,199.12635981368382
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.4,4,205.83106225889495
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.45,4,210.7451703494561
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.5,4,264.8145142417128
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.55,4,334.29146252160984
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.6,4,343.69031352151165
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.65,4,356.4403361693454
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.7,4,367.236983157561
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.75,4,380.67823656417266
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.8,4,396.8655398111171
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.85,4,413.53292995025026
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.9,4,440.3658946271789
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.95,4,485.3194854412175
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.975,4,531.1795793919811
2024-04-24,2024-05-12,ARI incidence,SI,quantile,0.99,4,616.3886330522439
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.01,1,442.6252853420312
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.025,1,508.7779957511574
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.05,1,548.074771020166
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.1,1,607.653452471726
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.15,1,646.2462176433442
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.2,1,682.0964088474681
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.25,1,711.7641678184167
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.3,1,729.4085259748813
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.35,1,746.6402822186735
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.4,1,772.074150591058
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.45,1,790.5481102108081
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.5,1,975.6909956759318
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.55,1,1220.414761411586
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.6,1,1250.3798783127017
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.65,1,1282.181397080941
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.7,1,1323.0016952118208
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.75,1,1360.9771096219386
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.8,1,1401.236450230793
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.85,1,1460.367348666155
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.9,1,1529.1086381094751
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.95,1,1660.8687259546211
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.975,1,1813.3754468388174
2024-04-24,2024-04-21,ARI incidence,RO,quantile,0.99,1,1915.512191856216
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.01,2,380.8060073596799
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.025,2,435.3005795879858
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.05,2,485.21247679211245
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.1,2,539.8951644504468
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.15,2,575.019486709769
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.2,2,596.4531860059091
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.25,2,629.7786156628963
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.3,2,656.2527840928433
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.35,2,676.4520405505677
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.4,2,695.9670762816346
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.45,2,710.3380397027031
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.5,2,884.4943321690113
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.55,2,1118.6060801845642
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.6,2,1151.639972314541
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.65,2,1189.37351663792
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.7,2,1226.6740229664313
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.75,2,1274.4432357550936
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.8,2,1333.0906527015622
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.85,2,1402.397297304848
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.9,2,1516.5642465413096
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.95,2,1680.4693862832394
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.975,2,1855.8450532109018
2024-04-24,2024-04-28,ARI incidence,RO,quantile,0.99,2,2074.809227879281
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.01,3,319.45660405706417
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.025,3,354.3172361849239
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.05,3,397.50714978323776
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.1,3,443.8755855454918
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.15,3,483.54538398570656
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.2,3,507.8956226325833
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.25,3,529.5066502115677
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.3,3,552.1454316457545
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.35,3,569.132342930083
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.4,3,587.0370671210961
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.45,3,601.5041318653983
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.5,3,758.424399792266
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.55,3,968.3407318849135
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.6,3,998.3496958231442
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.65,3,1042.0263891388067
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.7,3,1077.596683622234
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.75,3,1130.9761183426099
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.8,3,1193.118493371311
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.85,3,1274.324370188402
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.9,3,1384.8829281522192
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.95,3,1583.5784283545622
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.975,3,1751.115240981764
2024-04-24,2024-05-05,ARI incidence,RO,quantile,0.99,3,2020.6412190707658
2024-04-24,2024-05-12,ARI incidence,RO,quantile,0.01,4,275.4678336583619
2024-04-24,2024-05-12,ARI incidence,RO,quantile,0.025,4,298.49924655527843
2024-04-24,2024-05-12,ARI incidence,RO,quantile,0.05,4,333.27550870582274
2024-04-24,2024-05-12,ARI incidence,RO,quantile,0.1,4,366.404726105279
2024-04-24,2024-05-12,ARI incidence,RO,quantile,0.15,4,392.5631699995416
2024-04-24,2024-05-12,ARI incidence,RO,quantile,0.2,4,413.9920836308637
