origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.01,752.4582498828892
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.01,629.3260820983496
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.01,533.8360020730073
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.01,454.3689147365152
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.025,761.8581880465402
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.025,641.2239212817138
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.025,542.556877059359
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.025,460.67564346502434
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.05,768.9114423922723
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.05,650.5412347702163
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.05,550.8049383058889
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.05,469.7496253736608
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.1,776.4681955895985
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.1,661.6479007453272
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.1,566.3682266771765
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.1,487.36200200881575
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.15,784.4248704688605
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.15,674.5104630723217
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.15,580.8295822559425
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.15,502.0589342156469
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.2,791.1988131610069
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.2,686.0575496020745
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.2,595.2985781573801
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.2,518.3514307883627
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.25,796.9710547166997
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.25,696.1663900475268
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.25,608.5465036340806
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.25,533.6999538319385
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.3,802.9966808027768
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.3,707.0619164574591
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.3,622.7396909317516
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.3,549.5945331088469
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.35,809.7595531456076
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.35,718.3664539144601
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.35,636.3170151834843
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.35,564.9227612283723
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.4,816.5044144626039
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.4,728.8227345254459
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.4,650.6130125316756
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.4,581.4360255727021
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.45,822.5702487208692
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.45,739.8166809401796
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.45,664.3495833606842
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.45,596.6099600286055
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.5,829.3498765105118
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.5,751.2007624045615
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.5,678.5299841417725
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.5,613.1259296590288
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.55,835.6400572328482
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.55,763.2630726769789
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.55,693.8495434377279
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.55,629.8369018142868
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.6,842.3844938584011
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.6,774.8348587366504
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.6,708.9325302840776
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.6,647.7252219221094
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.65,849.0261185151351
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.65,787.3172091063904
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.65,726.3080265666174
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.65,668.5779465437714
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.7,855.9236517848093
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.7,800.0313568536471
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.7,743.7616567781791
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.7,689.0889241016221
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.75,864.0965877763165
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.75,814.5791848674132
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.75,763.0000964922285
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.75,714.1218591566362
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.8,872.2547694362829
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.8,829.8463155105476
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.8,784.783782943512
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.8,739.6292202841836
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.85,879.4312137402006
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.85,843.9181347737584
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.85,805.6432406152571
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.85,765.4571062848557
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.9,887.1708433149034
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.9,858.799512071733
2024-03-13,ARI incidence,2024-03-24,3,BG,quantile,0.9,826.4842715071211
2024-03-13,ARI incidence,2024-03-31,4,BG,quantile,0.9,792.7090329882336
2024-03-13,ARI incidence,2024-03-10,1,BG,quantile,0.95,894.8548134505445
2024-03-13,ARI incidence,2024-03-17,2,BG,quantile,0.95,873.6244094983882
