origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.01,1080.95
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.025,1111.2
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.05,1161.04
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.1,1211.04
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.15,1243.69
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.2,1275.53
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.25,1296.77
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.3,1332.86
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.35,1360.39
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.4,1377.18
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.45,1401.24
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.5,1419.66
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.55,1441.26
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.6,1459.01
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.65,1476.38
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.7,1494.37
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.75,1516.65
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.8,1548.16
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.85,1569.41
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.9,1596.66
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.95,1644.45
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.975,1715.4
2024-01-24,ARI incidence,2024-01-21,1,BE,quantile,0.99,1786.59
2024-01-24,ARI incidence,2024-01-21,1,BE,median,NA,1419.66
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.01,940.75
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.025,1027.54
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.05,1077.41
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.1,1158.78
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.15,1202.22
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.2,1244.94
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.25,1278.47
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.3,1321.2
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.35,1347.52
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.4,1371.04
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.45,1410.07
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.5,1429.8
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.55,1457.73
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.6,1485.89
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.65,1514.3
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.7,1536.82
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.75,1564.68
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.8,1592.89
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.85,1641.95
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.9,1682.23
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.95,1730.38
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.975,1798.81
2024-01-24,ARI incidence,2024-01-28,2,BE,quantile,0.99,1889.94
2024-01-24,ARI incidence,2024-01-28,2,BE,median,NA,1429.8
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.01,862.15
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.025,930.7
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.05,1014.28
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.1,1108.76
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.15,1170.37
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.2,1212.2
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.25,1254.77
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.3,1291.88
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.35,1329.64
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.4,1362.97
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.45,1401.74
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.5,1429.06
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.55,1458.88
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.6,1490.95
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.65,1525.21
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.7,1559.33
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.75,1600.53
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.8,1651.24
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.85,1686.62
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.9,1748.73
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.95,1827.75
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.975,1892.43
2024-01-24,ARI incidence,2024-02-04,3,BE,quantile,0.99,1977.23
2024-01-24,ARI incidence,2024-02-04,3,BE,median,NA,1429.06
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.01,819.1
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.025,907.26
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.05,969.74
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.1,1076.64
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.15,1140.42
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.2,1196.71
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.25,1240.38
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.3,1283.41
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.35,1324.57
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.4,1372.84
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.45,1404.75
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.5,1449.38
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.55,1485.19
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.6,1518.23
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.65,1545.52
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.7,1600.01
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.75,1636.94
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.8,1695.62
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.85,1737.69
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.9,1817.82
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.95,1903.21
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.975,1988.39
2024-01-24,ARI incidence,2024-02-11,4,BE,quantile,0.99,2096.67
2024-01-24,ARI incidence,2024-02-11,4,BE,median,NA,1449.38
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.01,1018.62
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.025,1069.48
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.05,1118.14
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.1,1190.66
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.15,1236.41
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.2,1278.61
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.25,1307.89
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.3,1349.5
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.35,1380.23
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.4,1404.98
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.45,1425.79
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.5,1448.89
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.55,1473.44
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.6,1493.46
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.65,1519.62
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.7,1541.46
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.75,1568.27
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.8,1604.9
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.85,1627.96
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.9,1656.28
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.95,1717.57
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.975,1812.05
2024-01-24,ARI incidence,2024-01-21,1,BG,quantile,0.99,1919.97
2024-01-24,ARI incidence,2024-01-21,1,BG,median,NA,1448.89
2024-01-24,ARI incidence,2024-01-28,2,BG,quantile,0.01,968.97
2024-01-24,ARI incidence,2024-01-28,2,BG,quantile,0.025,1058.06
2024-01-24,ARI incidence,2024-01-28,2,BG,quantile,0.05,1128.26
2024-01-24,ARI incidence,2024-01-28,2,BG,quantile,0.1,1219.35
2024-01-24,ARI incidence,2024-01-28,2,BG,quantile,0.15,1255.67
2024-01-24,ARI incidence,2024-01-28,2,BG,quantile,0.2,1282.24
2024-01-24,ARI incidence,2024-01-28,2,BG,quantile,0.25,1311.42
2024-01-24,ARI incidence,2024-01-28,2,BG,quantile,0.3,1362.18
