"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2024-02-21,"ARI incidence",2024-02-18,1,"BE","median","",1460.27187183434
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.01",965.062490259625
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.025",1034.13413163392
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.05",1088.342817054
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.1",1156.6242735685
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.15",1206.32152856175
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.2",1245.21562719171
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.25",1278.90735055624
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.3",1310.72298842342
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.35",1349.30465609781
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.4",1402.02900289456
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.45",1411.81921132458
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.5",1498.99
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.55",1526.33
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.6",1545.53
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.65",1564.36
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.7",1589.11
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.75",1609.35
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.8",1626.51
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.85",1651.6376258647
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.9",1710.37395974197
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.95",1799.93985118902
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.975",1877.11341838569
2024-02-21,"ARI incidence",2024-02-18,1,"BE","quantile","0.99",1979.82
2024-02-21,"ARI incidence",2024-02-18,1,"BG","median","",1270.69318689562
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.01",719.892577970339
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.025",801.482215411255
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.05",863.758182242003
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.1",939.759746846891
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.15",995.990849018373
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.2",1039.33226735384
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.25",1075.37258733336
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.3",1110.54148815891
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.35",1145.71290123775
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.4",1177.99040470983
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.45",1212.56129880297
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.5",1298.75141360253
2024-02-21,"ARI incidence",2024-02-18,1,"BG","quantile","0.55",1308.25264346366
