origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.010,368.58700000000016
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.025,564.0775000000001
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.050,717.7600000000002
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.100,906.5
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.150,1032.0250000000003
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.200,1139.8000000000002
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.250,1223.15
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.300,1299.07
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.350,1372.2000000000003
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.400,1442.62
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.450,1514.1
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.500,1585.1000000000001
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.550,1655.2900000000002
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.600,1721.5000000000002
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.650,1798.2000000000003
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.700,1873.46
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.750,1953.7500000000002
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.800,2041.5
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.850,2141.2000000000003
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.900,2268.52
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.950,2455.6
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.975,2625.9099999999994
2024-03-13,ARI incidence,1,2024-03-10,BE,quantile,0.990,2803.3
2024-03-13,ARI incidence,1,2024-03-10,BE,median,,1585.1000000000001
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.010,219.20000000000005
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.025,446.6974999999998
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.050,622.2799999999999
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.100,830.0899999999998
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.150,962.4099999999999
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.200,1084.1799999999996
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.250,1178.575
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.300,1269.3700000000001
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.350,1353.7000000000003
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.400,1432.48
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.450,1509.2950000000003
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.500,1588.0
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.550,1666.4800000000002
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.600,1743.48
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.650,1816.8700000000003
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.700,1899.33
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.750,1990.625
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.800,2089.3400000000006
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.850,2201.6150000000002
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.900,2344.4100000000003
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.950,2552.5299999999997
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.975,2739.4224999999997
2024-03-13,ARI incidence,2,2024-03-17,BE,quantile,0.990,2935.120000000001
2024-03-13,ARI incidence,2,2024-03-17,BE,median,,1588.0
2024-03-13,ARI incidence,3,2024-03-24,BE,quantile,0.010,110.49099999999979
2024-03-13,ARI incidence,3,2024-03-24,BE,quantile,0.025,329.98
2024-03-13,ARI incidence,3,2024-03-24,BE,quantile,0.050,518.7949999999997
2024-03-13,ARI incidence,3,2024-03-24,BE,quantile,0.100,750.69
2024-03-13,ARI incidence,3,2024-03-24,BE,quantile,0.150,908.0400000000002
2024-03-13,ARI incidence,3,2024-03-24,BE,quantile,0.200,1038.08
2024-03-13,ARI incidence,3,2024-03-24,BE,quantile,0.250,1149.425
2024-03-13,ARI incidence,3,2024-03-24,BE,quantile,0.300,1246.08
2024-03-13,ARI incidence,3,2024-03-24,BE,quantile,0.350,1330.73
