location,truth_date,year_week,value
BE,2023-12-17,2023-W50,1508.19560633884
BE,2023-12-10,2023-W49,1576.25780307206
BE,2023-12-03,2023-W48,1404.05376311014
BE,2023-11-26,2023-W47,1231.03305721854
BE,2023-11-19,2023-W46,1106.86889208028
BE,2023-11-12,2023-W45,1430.19745632702
BE,2023-11-05,2023-W44,919.687306315853
BE,2023-10-29,2023-W43,1012.70484257043
BE,2023-10-22,2023-W42,1189.31794544906
BE,2023-10-15,2023-W41,1109.70248777516
BE,2023-10-08,2023-W40,1169.78892938883
BE,2023-10-01,2023-W39,1123.11371320195
BE,2023-09-24,2023-W38,878.9664861901172
BE,2023-09-17,2023-W37,706.373706192119
BE,2023-09-10,2023-W36,746.283547839968
BE,2023-09-03,2023-W35,596.400850519474
BE,2023-08-27,2023-W34,498.639085465433
BE,2023-08-20,2023-W33,423.077832139734
BE,2023-08-13,2023-W32,430.597771023303
BE,2023-08-06,2023-W31,462.585034013605
BE,2023-07-30,2023-W30,459.819923925081
BE,2023-07-23,2023-W29,408.834479135738
BE,2023-07-16,2023-W28,507.98561752654894
BE,2023-07-09,2023-W27,476.54325931562
BE,2023-07-02,2023-W26,531.937085401978
BE,2023-06-25,2023-W25,475.730586257467
BE,2023-06-18,2023-W24,469.08315565032
BE,2023-06-11,2023-W23,649.125510439941
BE,2023-06-04,2023-W22,543.189780247001
BE,2023-05-28,2023-W21,851.627180936197
BE,2023-05-21,2023-W20,645.161290322581
BE,2023-05-14,2023-W19,777.127829942179
BE,2023-05-07,2023-W18,629.975373689938
BE,2023-04-30,2023-W17,690.52102950408
BE,2023-04-23,2023-W16,888.2896458738148
BE,2023-04-16,2023-W15,653.278490200823
BE,2023-04-09,2023-W14,699.986000279994
BE,2023-04-02,2023-W13,989.602487379225
BE,2023-03-26,2023-W12,1151.64587827066
BE,2023-03-19,2023-W11,1581.04287280491
BE,2023-03-12,2023-W10,1371.81512258773
BE,2023-03-05,2023-W09,1499.26666304525
BE,2023-02-26,2023-W08,1158.34500511035
BE,2023-02-19,2023-W07,1443.79080278356
BE,2023-02-12,2023-W06,1354.32843367402
BE,2023-02-05,2023-W05,1314.90222521915
BE,2023-01-29,2023-W04,1285.79346018844
BE,2023-01-22,2023-W03,1171.58508570419
BE,2023-01-15,2023-W02,1312.54388649826
BE,2023-01-08,2023-W01,1379.36121560817
BE,2023-01-01,2022-W52,1952.41139934235
BE,2022-12-25,2022-W51,1982.96587584099
BE,2022-12-18,2022-W50,1980.26804342445
BE,2022-12-11,2022-W49,2066.85378923195
BE,2022-12-04,2022-W48,1693.42035632387
BE,2022-11-27,2022-W47,1675.67761108525
BE,2022-11-20,2022-W46,1124.72751918814
BE,2022-11-13,2022-W45,909.0076056079911
BE,2022-11-06,2022-W44,788.3310990616059
BE,2022-10-30,2022-W43,940.118937802987
BE,2022-10-23,2022-W42,1144.61310014849
BE,2022-10-16,2022-W41,1162.26439494358
BE,2022-10-09,2022-W40,1074.60958122584
BE,2022-10-02,2022-W39,1093.16908051717
BE,2022-09-25,2022-W38,1186.58458925918
BE,2022-09-18,2022-W37,904.567295360887
BE,2022-09-11,2022-W36,400.082491235306
BE,2022-09-04,2022-W35,481.760378464009
BE,2022-08-28,2022-W34,377.966139601458
