location,truth_date,year_week,value
GB-ENG,2023-10-08,2023-W40,305.7211213772348
GB-ENG,2023-10-15,2023-W41,305.06528994635335
GB-ENG,2023-10-22,2023-W42,329.6817124437322
GB-ENG,2023-10-29,2023-W43,326.0702613029225
GB-ENG,2023-11-05,2023-W44,343.6493184919642
GB-ENG,2023-11-12,2023-W45,361.8039325656655
GB-ENG,2023-11-19,2023-W46,369.8249810419511
GB-ENG,2023-11-26,2023-W47,348.3286531163553
GB-ENG,2023-12-03,2023-W48,353.18376053316297
GB-ENG,2023-12-10,2023-W49,377.3098132800155
GB-ENG,2023-12-17,2023-W50,398.58831419927606
GB-ENG,2023-12-24,2023-W51,419.0477887354354
GB-ENG,2023-12-31,2023-W52,276.73267273669865
GB-ENG,2024-01-07,2024-W01,350.0984826017392
GB-ENG,2024-01-14,2024-W02,354.6930336177619
GB-ENG,2024-01-21,2024-W03,336.9544171477567
GB-ENG,2024-01-28,2024-W04,375.4502875489796
GB-ENG,2024-02-04,2024-W05,373.9777706521029
GB-ENG,2024-02-11,2024-W06,366.3346375049613
GB-ENG,2024-02-18,2024-W07,332.4955133595391
GB-WLS,2023-07-30,2023-W30,131.34431384579986
GB-WLS,2023-08-13,2023-W32,100.64143759624595
GB-WLS,2023-08-20,2023-W33,100.16553672912076
GB-WLS,2023-09-03,2023-W35,77.65482430596
GB-WLS,2023-09-17,2023-W37,113.01678451975502
GB-WLS,2023-09-24,2023-W38,113.42519305683648
GB-WLS,2023-10-01,2023-W39,148.192285268865
GB-WLS,2023-10-08,2023-W40,187.49121507172075
GB-WLS,2023-10-15,2023-W41,182.01180217890047
GB-WLS,2023-10-22,2023-W42,169.64859206378003
GB-WLS,2023-10-29,2023-W43,434.78477158875523
GB-WLS,2023-11-05,2023-W44,218.7225501948232
GB-WLS,2023-11-12,2023-W45,214.47360554791655
GB-WLS,2023-11-19,2023-W46,227.0968905002391
GB-WLS,2023-12-10,2023-W49,256.00564451923856
GB-WLS,2024-01-07,2024-W01,130.71311818995815
GB-WLS,2024-01-14,2024-W02,243.23992061772987
GB-WLS,2024-01-28,2024-W04,285.2516090232201
GB-NIR,2023-07-30,2023-W30,52.17011810914789
GB-NIR,2023-08-06,2023-W31,50.71564775886232
GB-NIR,2023-08-13,2023-W32,49.83228395043677
GB-NIR,2023-08-20,2023-W33,51.14536336808948
GB-NIR,2023-08-27,2023-W34,56.2174542627789
GB-NIR,2023-09-03,2023-W35,43.545953629281186
GB-NIR,2023-09-10,2023-W36,50.842205649200814
GB-NIR,2023-09-17,2023-W37,60.593344605693666
GB-NIR,2023-09-24,2023-W38,71.65132338708547
GB-NIR,2023-10-01,2023-W39,122.40997601817459
GB-NIR,2023-10-08,2023-W40,147.56319201326656
GB-NIR,2023-10-15,2023-W41,145.7147541017842
GB-NIR,2023-10-22,2023-W42,160.56261473406687
GB-NIR,2023-10-29,2023-W43,179.54053101691653
GB-NIR,2023-11-05,2023-W44,172.08072057268953
GB-NIR,2023-11-12,2023-W45,189.66750198024016
GB-NIR,2023-11-19,2023-W46,175.74710127973879
GB-NIR,2023-11-26,2023-W47,178.01366006904166
GB-NIR,2023-12-03,2023-W48,181.34323310215302
GB-NIR,2023-12-10,2023-W49,200.56314829936576
GB-NIR,2023-12-17,2023-W50,208.81457988259442
GB-NIR,2023-12-24,2023-W51,245.68309603273528
GB-NIR,2023-12-31,2023-W52,150.7527239457706
GB-NIR,2024-01-07,2024-W01,199.0925498201633
GB-NIR,2024-01-14,2024-W02,202.12989285791363
GB-NIR,2024-01-21,2024-W03,185.52821102840892
GB-NIR,2024-01-28,2024-W04,190.36059233269296
GB-NIR,2024-02-04,2024-W05,188.519555639385
GB-NIR,2024-02-11,2024-W06,186.07476066085553
GB-NIR,2024-02-18,2024-W07,176.12826276035483
GB-SCT,2023-07-30,2023-W30,103.26316009771291
GB-SCT,2023-08-06,2023-W31,106.83721132161449
GB-SCT,2023-08-13,2023-W32,123.12379680399839
GB-SCT,2023-08-20,2023-W33,122.54548867309336
GB-SCT,2023-08-27,2023-W34,126.41891272672547
GB-SCT,2023-09-03,2023-W35,141.93226211235276
GB-SCT,2023-09-10,2023-W36,132.42936046938064
GB-SCT,2023-09-17,2023-W37,142.96534842697773
GB-SCT,2023-09-24,2023-W38,144.90840428333482
GB-SCT,2023-10-01,2023-W39,142.18253417519438
GB-SCT,2023-10-08,2023-W40,159.28600569479434
GB-SCT,2023-10-15,2023-W41,166.07161594610375
GB-SCT,2023-10-22,2023-W42,165.56635458383667
GB-SCT,2023-10-29,2023-W43,196.40268743953428
GB-SCT,2023-11-05,2023-W44,197.69415930542024
GB-SCT,2023-11-12,2023-W45,242.74182511499288
GB-SCT,2023-11-19,2023-W46,207.72065218263896
GB-SCT,2023-11-26,2023-W47,223.25949158044142
GB-SCT,2023-12-03,2023-W48,224.75968976387486
GB-SCT,2023-12-10,2023-W49,244.08908614072973
GB-SCT,2023-12-17,2023-W50,263.1096150538734
GB-SCT,2023-12-24,2023-W51,289.7502673536641
GB-SCT,2023-12-31,2023-W52,204.03047132836724
GB-SCT,2024-01-07,2024-W01,224.87853731061065
GB-SCT,2024-01-14,2024-W02,261.4026112471926
GB-SCT,2024-01-21,2024-W03,249.2733043712421
GB-SCT,2024-01-28,2024-W04,244.66097710292195
GB-SCT,2024-02-04,2024-W05,258.79899770689116
GB-SCT,2024-02-11,2024-W06,245.91018201623152
GB-SCT,2024-02-18,2024-W07,227.15705768831654
