location,truth_date,year_week,value,data_source
BE,2024-10-13,2024-W41,1384.1,ERVISS
BE,2024-10-06,2024-W40,1182.0,ERVISS
BE,2024-09-29,2024-W39,1216.6,ERVISS
BE,2024-09-22,2024-W38,993.0,ERVISS
BE,2024-09-15,2024-W37,927.0,ERVISS
BE,2024-09-08,2024-W36,713.6,ERVISS
BE,2024-09-01,2024-W35,417.6,ERVISS
BE,2024-08-25,2024-W34,394.7,ERVISS
BE,2024-08-18,2024-W33,307.9,ERVISS
BE,2024-08-11,2024-W32,419.6,ERVISS
BE,2024-08-04,2024-W31,343.6,ERVISS
BE,2024-07-28,2024-W30,367.6,ERVISS
BE,2024-07-21,2024-W29,555.0,ERVISS
BE,2024-07-14,2024-W28,620.5,ERVISS
BE,2024-07-07,2024-W27,641.3,ERVISS
BE,2024-06-30,2024-W26,822.2,ERVISS
BE,2024-06-23,2024-W25,892.4,ERVISS
BE,2024-06-16,2024-W24,806.5,ERVISS
BE,2024-06-09,2024-W23,841.9,ERVISS
BE,2024-06-02,2024-W22,765.1,ERVISS
BE,2024-05-26,2024-W21,873.5,ERVISS
BE,2024-05-19,2024-W20,791.5,ERVISS
BE,2024-05-12,2024-W19,759.5,ERVISS
BE,2024-05-05,2024-W18,892.2,ERVISS
BE,2024-04-28,2024-W17,945.4,ERVISS
BE,2024-04-21,2024-W16,844.4,ERVISS
BE,2024-04-14,2024-W15,888.3,ERVISS
BE,2024-04-07,2024-W14,942.6,ERVISS
BE,2024-03-31,2024-W13,1169.2,ERVISS
BE,2024-03-24,2024-W12,1064.9,ERVISS
BE,2024-03-17,2024-W11,1015.0,ERVISS
BE,2024-03-10,2024-W10,1178.4,ERVISS
BE,2024-03-03,2024-W09,1160.4,ERVISS
BE,2024-02-25,2024-W08,1502.8,ERVISS
BE,2024-02-18,2024-W07,1288.3,ERVISS
BE,2024-02-11,2024-W06,1575.0,ERVISS
BE,2024-02-04,2024-W05,2021.0,ERVISS
BE,2024-01-28,2024-W04,1789.7,ERVISS
BE,2024-01-21,2024-W03,1462.0,ERVISS
BE,2024-01-14,2024-W02,1298.4,ERVISS
BE,2024-01-07,2024-W01,1185.9,ERVISS
BE,2023-12-31,2023-W52,1505.9,ERVISS
BE,2023-12-24,2023-W51,1765.8,ERVISS
BE,2023-12-17,2023-W50,1668.5,ERVISS
BE,2023-12-10,2023-W49,1715.7,ERVISS
BE,2023-12-03,2023-W48,1534.4,ERVISS
BE,2023-11-26,2023-W47,1313.0,ERVISS
BE,2023-11-19,2023-W46,1222.1,ERVISS
BE,2023-11-12,2023-W45,1532.3,ERVISS
BE,2023-11-05,2023-W44,990.6,ERVISS
BE,2023-10-29,2023-W43,1118.2,ERVISS
BE,2023-10-22,2023-W42,1291.1,ERVISS
BE,2023-10-15,2023-W41,1182.7,ERVISS
BE,2023-10-08,2023-W40,1258.3,ERVISS
BE,2023-10-01,2023-W39,1233.6,ERVISS
BE,2023-09-24,2023-W38,979.3,ERVISS
BE,2023-09-17,2023-W37,767.2,ERVISS
BE,2023-09-10,2023-W36,801.3,ERVISS
BE,2023-09-03,2023-W35,644.0,ERVISS
BE,2023-08-27,2023-W34,532.8,ERVISS
BE,2023-08-20,2023-W33,467.5,ERVISS
BE,2023-08-13,2023-W32,476.2,ERVISS
BE,2023-08-06,2023-W31,504.3,ERVISS
BE,2023-07-30,2023-W30,499.7,ERVISS
BE,2023-07-23,2023-W29,432.6,ERVISS
BE,2023-07-16,2023-W28,545.2,ERVISS
BE,2023-07-09,2023-W27,519.3,ERVISS
BE,2023-07-02,2023-W26,557.6,ERVISS
BE,2023-06-25,2023-W25,525.9,ERVISS
BE,2023-06-18,2023-W24,514.9,ERVISS
BE,2023-06-11,2023-W23,710.2,ERVISS
BE,2023-06-04,2023-W22,493.4,ERVISS
BE,2023-05-28,2023-W21,893.2,ERVISS
BE,2023-05-21,2023-W20,685.0,ERVISS
BE,2023-05-14,2023-W19,827.7,ERVISS
BE,2023-05-07,2023-W18,685.3,ERVISS
BE,2023-04-30,2023-W17,748.9,ERVISS
BE,2023-04-23,2023-W16,941.3,ERVISS
BE,2023-04-16,2023-W15,699.8,ERVISS
BE,2023-04-09,2023-W14,736.6,ERVISS
BE,2023-04-02,2023-W13,1062.2,ERVISS
BE,2023-03-26,2023-W12,1195.5,ERVISS
BE,2023-03-19,2023-W11,1456.0,ERVISS
BE,2023-03-12,2023-W10,1486.2,ERVISS
BE,2023-03-05,2023-W09,1574.4,ERVISS
BE,2023-02-26,2023-W08,1251.3,ERVISS
BE,2023-02-19,2023-W07,1550.2,ERVISS
BE,2023-02-12,2023-W06,1464.3,ERVISS
BE,2023-02-05,2023-W05,1437.8,ERVISS
BE,2023-01-29,2023-W04,1384.8,ERVISS
BE,2023-01-22,2023-W03,1274.0,ERVISS
BE,2023-01-15,2023-W02,1348.9,ERVISS
BE,2023-01-08,2023-W01,1470.5,ERVISS
BE,2023-01-01,2022-W52,2012.0,ERVISS
BE,2022-12-25,2022-W51,2131.3,ERVISS
BE,2022-12-18,2022-W50,2236.5,ERVISS
BE,2022-12-11,2022-W49,2247.4,ERVISS
BE,2022-12-04,2022-W48,1849.8,ERVISS
BE,2022-11-27,2022-W47,1816.9,ERVISS
BE,2022-11-20,2022-W46,1194.3,ERVISS
BE,2022-11-13,2022-W45,996.4,ERVISS
BE,2022-11-06,2022-W44,844.5,ERVISS
BE,2022-10-30,2022-W43,1046.5,ERVISS
BE,2022-10-23,2022-W42,1238.7,ERVISS
BE,2022-10-16,2022-W41,1298.7,ERVISS
BE,2022-10-09,2022-W40,1217.0,ERVISS
BE,2022-10-02,2022-W39,1191.6,ERVISS
BE,2022-09-25,2022-W38,1292.6,ERVISS
BE,2022-09-18,2022-W37,988.2,ERVISS
BE,2022-09-11,2022-W36,430.4,ERVISS
BE,2022-09-04,2022-W35,536.9,ERVISS
BE,2022-08-28,2022-W34,409.6,ERVISS
BE,2022-08-21,2022-W33,368.4,ERVISS
BE,2022-08-14,2022-W32,397.9,ERVISS
BE,2022-08-07,2022-W31,366.5,ERVISS
BE,2022-07-31,2022-W30,552.1,ERVISS
BE,2022-07-24,2022-W29,454.6,ERVISS
BE,2022-07-17,2022-W28,885.1,ERVISS
BE,2022-07-10,2022-W27,991.2,ERVISS
BE,2022-07-03,2022-W26,850.2,ERVISS
BE,2022-06-26,2022-W25,838.9,ERVISS
BE,2022-06-19,2022-W24,958.0,ERVISS
BE,2022-06-12,2022-W23,758.9,ERVISS
BE,2022-06-05,2022-W22,953.5,ERVISS
BE,2022-05-29,2022-W21,680.8,ERVISS
BE,2022-05-22,2022-W20,953.5,ERVISS
BE,2022-05-15,2022-W19,1124.2,ERVISS
BE,2022-05-08,2022-W18,1090.7,ERVISS
BE,2022-05-01,2022-W17,1215.2,ERVISS
BE,2022-04-24,2022-W16,835.4,ERVISS
BE,2022-04-17,2022-W15,1403.4,ERVISS
BE,2022-04-10,2022-W14,1679.3,ERVISS
BE,2022-04-03,2022-W13,1588.9,ERVISS
BE,2022-03-27,2022-W12,1494.2,ERVISS
BE,2022-03-20,2022-W11,1282.0,ERVISS
BE,2022-03-13,2022-W10,1232.3,ERVISS
BE,2022-03-06,2022-W09,1066.4,ERVISS
BE,2022-02-27,2022-W08,1063.5,ERVISS
BE,2022-02-20,2022-W07,1051.3,ERVISS
BE,2022-02-13,2022-W06,1136.2,ERVISS
BE,2022-02-06,2022-W05,1315.3,ERVISS
BE,2022-01-30,2022-W04,1793.9,ERVISS
BE,2022-01-23,2022-W03,1532.0,ERVISS
BE,2022-01-16,2022-W02,1095.0,ERVISS
BE,2022-01-09,2022-W01,972.9,ERVISS
BE,2022-01-02,2021-W52,737.8,ERVISS
BE,2021-12-26,2021-W51,838.2,ERVISS
BE,2021-12-19,2021-W50,1250.0,ERVISS
BE,2021-12-12,2021-W49,1249.4,ERVISS
BE,2021-12-05,2021-W48,1392.0,ERVISS
BE,2021-11-28,2021-W47,1461.8,ERVISS
BE,2021-11-21,2021-W46,1575.7,ERVISS
BE,2021-11-14,2021-W45,1299.6,ERVISS
BE,2021-11-07,2021-W44,1434.4,ERVISS
BE,2021-10-31,2021-W43,1657.6,ERVISS
BE,2021-10-24,2021-W42,1620.6,ERVISS
BE,2021-10-17,2021-W41,1438.0,ERVISS
BE,2021-10-10,2021-W40,1205.0,ERVISS
BE,2021-10-03,2021-W39,1177.6,ERVISS
BE,2021-09-26,2021-W38,1151.0,ERVISS
BE,2021-09-19,2021-W37,1075.0,ERVISS
BE,2021-09-12,2021-W36,891.5,ERVISS
BE,2021-09-05,2021-W35,493.0,ERVISS
BE,2021-08-29,2021-W34,391.3,ERVISS
BE,2021-08-22,2021-W33,462.1,ERVISS
BE,2021-08-15,2021-W32,482.3,ERVISS
BE,2021-08-08,2021-W31,465.3,ERVISS
BE,2021-08-01,2021-W30,458.5,ERVISS
BE,2021-07-25,2021-W29,441.4,ERVISS
BE,2021-07-18,2021-W28,429.9,ERVISS
BE,2021-07-11,2021-W27,475.5,ERVISS
BE,2021-07-04,2021-W26,504.1,ERVISS
BE,2021-06-27,2021-W25,540.3,ERVISS
BE,2021-06-20,2021-W24,548.8,ERVISS
BE,2021-06-13,2021-W23,565.5,ERVISS
BE,2021-06-06,2021-W22,628.1,ERVISS
BE,2021-05-30,2021-W21,679.9,ERVISS
BE,2021-05-23,2021-W20,772.3,ERVISS
